Id,Term,Definition,BusinessContext,Synonyms,RelatedTerms,Category,IsActive,UsageCount,LastUsed,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,Domain,Examples,MappedTables,MappedColumns,HierarchicalRelations,PreferredCalculation,DisambiguationRules,BusinessOwner,RegulationReferences,ConfidenceScore,AmbiguityScore,ContextualVariations,LastValidated,SemanticEmbedding,QueryPatterns,LLMPromptTemplates,DisambiguationContext,SemanticRelationships,ConceptualLevel,CrossDomainMappings,SemanticStability,InferenceRules,BusinessPurpose,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,ImportanceScore,UsageFrequency,RelationshipContext,DataGovernanceLevel,LastBusinessReview
114,Progressive Jackpot,A jackpot that increases with each bet until won,Attracts players with potentially life-changing prizes,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7136812,2025-07-02 07:14:09.7136814,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
115,Bonus Round,Special game feature triggered during slot play offering additional winning opportunities,Enhances player engagement and excitement,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7141435,2025-07-02 07:14:09.7141437,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
116,Wild Symbol,Symbol that substitutes for other symbols to create winning combinations,Increases winning chances in slot games,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7145885,2025-07-02 07:14:09.7145886,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
117,Scatter Symbol,Special symbol that can trigger bonuses regardless of position on reels,Key to unlocking bonus features,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7150700,2025-07-02 07:14:09.7150701,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
118,Free Spins,Bonus rounds where players can spin without wagering additional money,Popular promotional tool and game feature,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7155368,2025-07-02 07:14:09.7155369,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
119,Multiplier,Feature that multiplies winnings by a specified amount,Increases payout potential and excitement,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7166704,2025-07-02 07:14:09.7166706,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
120,Know Your Customer (KYC),Identity verification process required by law to prevent fraud and money laundering,Mandatory regulatory requirement for player onboarding,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7173151,2025-07-02 07:14:09.7173153,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
121,Anti-Money Laundering (AML),Procedures and controls to prevent money laundering through gambling platforms,Legal obligation to detect and report suspicious activity,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7178703,2025-07-02 07:14:09.7178705,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
122,Responsible Gambling,Measures and tools to prevent problem gambling and protect vulnerable players,Ethical and legal obligation for player protection,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7183439,2025-07-02 07:14:09.7183440,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
123,Self-Exclusion,Tool allowing players to voluntarily ban themselves from gambling for a set period,Key responsible gambling protection measure,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7188998,2025-07-02 07:14:09.7189000,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
124,Geo-blocking,Restricting access to gambling services based on geographical location,Ensures compliance with local gambling laws,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7193995,2025-07-02 07:14:09.7193997,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
125,Cooling-off Period,Temporary break from gambling that players can request,Responsible gambling tool for player protection,,,Compliance,1,0,NULL,2025-07-02 07:14:09.7198931,2025-07-02 07:14:09.7198933,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Compliance,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
126,VIP Program,Loyalty program offering exclusive benefits to high-value players,Player retention and value maximization strategy,,,Player Management,1,0,NULL,2025-07-02 07:14:09.7204511,2025-07-02 07:14:09.7204513,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Player Management,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
127,Comp Points,Loyalty points earned through gameplay redeemable for rewards,Player incentivization and retention tool,,,Player Management,1,0,NULL,2025-07-02 07:14:09.7209681,2025-07-02 07:14:09.7209682,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Player Management,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
128,Cashback,Percentage of losses returned to player as bonus or cash,Loss mitigation and retention offer,,,Player Management,1,0,NULL,2025-07-02 07:14:09.7214255,2025-07-02 07:14:09.7214256,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Player Management,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
129,Reload Bonus,Bonus offered to existing players when they make additional deposits,Encourages continued play and deposits,,,Player Management,1,0,NULL,2025-07-02 07:14:09.7218689,2025-07-02 07:14:09.7218690,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Player Management,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
130,Wagering Requirement,Number of times a bonus must be wagered before withdrawal,Protects operator from bonus abuse,,,Player Management,1,0,NULL,2025-07-02 07:14:09.7223508,2025-07-02 07:14:09.7223509,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Player Management,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
131,Conversion Rate,Percentage of visitors who become paying customers,Measures marketing and website effectiveness,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7229345,2025-07-02 07:14:09.7229347,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
132,Session Length,Average time a player spends in a single gaming session,Indicates player engagement and game stickiness,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7235702,2025-07-02 07:14:09.7235703,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
133,Bounce Rate,Percentage of visitors who leave after viewing only one page,Website engagement and user experience metric,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7243296,2025-07-02 07:14:09.7243298,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
134,Player Segmentation,"Dividing players into groups based on behavior, value, or characteristics",Enables targeted marketing and personalization,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7248467,2025-07-02 07:14:09.7248469,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
135,Cohort Analysis,Analyzing player behavior over time by grouping them by acquisition date,Tracks long-term player value and retention trends,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7253046,2025-07-02 07:14:09.7253047,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
136,Deposit,Money transferred by a player into their gambling account,Primary method of player funding,,,Financial,1,0,NULL,2025-07-02 07:14:09.7258522,2025-07-02 07:14:09.7258523,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Financial,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
137,Withdrawal,Money transferred from a player's gambling account to their bank account,Player cashout process,,,Financial,1,0,NULL,2025-07-02 07:14:09.7263087,2025-07-02 07:14:09.7263088,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Financial,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
138,Payment Gateway,Service that processes online payments between players and the gambling platform,Critical infrastructure for financial transactions,,,Financial,1,0,NULL,2025-07-02 07:14:09.7267486,2025-07-02 07:14:09.7267487,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Financial,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
139,Chargeback,Reversal of a credit card transaction initiated by the cardholder's bank,Risk factor requiring careful management,,,Financial,1,0,NULL,2025-07-02 07:14:09.7272621,2025-07-02 07:14:09.7272623,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Financial,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
140,White Label,Brand partner that operates under their own brand using the platform's technology,Partnership model for market expansion,,,Business Operations,1,0,NULL,2025-07-02 07:14:09.7277160,2025-07-02 07:14:09.7277162,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Business Operations,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
141,Random Number Generator (RNG),Algorithm ensuring fair and unpredictable game outcomes,Core technology for game fairness and regulatory compliance,,,Technical,1,0,NULL,2025-07-02 07:14:09.7281086,2025-07-02 07:14:09.7281087,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Technical,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
142,API Integration,Connection between different software systems to share data and functionality,Enables third-party game providers and services,,,Technical,1,0,NULL,2025-07-02 07:14:09.7284805,2025-07-02 07:14:09.7284806,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Technical,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
143,Live Dealer,Real human dealers streaming games in real-time to online players,Bridges gap between online and land-based casino experience,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7288354,2025-07-02 07:14:09.7288355,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
144,Player Acquisition Cost (PAC),"Total cost to acquire a new player including marketing, bonuses, and operational expenses",Critical metric for marketing ROI and player value optimization,"[""PAC"",""Customer Acquisition Cost"",""Player CAC""]","[""LTV"",""Marketing ROI"",""Player Value""]",Analytics,1,1,2025-07-02 07:40:17.8038246,2025-07-02 07:40:17.8037951,2025-07-02 07:40:17.8038102,Unified Metadata Generator,Unified Metadata Generator,Analytics,"[""PAC of $50 per new player"",""Optimizing PAC through targeted campaigns""]","[""tbl_Daily_actions_players"",""tbl_Player_analytics"",""tbl_Cohort_analysis""]","[""amount"",""date"",""player_id"",""status""]","[""Parent: Analytics Metrics"",""Child: Sub-metrics"",""Related: Similar Terms""]",Calculate Player Acquisition Cost (PAC) using standard analytics formulas,"[""When \u0027Player Acquisition Cost (PAC)\u0027 is mentioned, prioritize gambling industry context"",""Distinguish Player Acquisition Cost (PAC) from similar terms in other industries"",""Consider regulatory context when interpreting Player Acquisition Cost (PAC)"",""Apply gambling-specific calculation methods for Player Acquisition Cost (PAC)""]",Head of Analytics,"[""General Gambling Regulations"",""Industry Best Practices"",""Compliance Standards""]",0.9500,0.0000,"[""Player Acquisition Cost (PAC) in daily operations"",""Player Acquisition Cost (PAC) for regulatory reporting"",""Player Acquisition Cost (PAC) in business intelligence"",""Player Acquisition Cost (PAC) for player analysis"",""Player Acquisition Cost (PAC) in financial statements""]",2025-07-02 07:40:17.8038308,,"[""Show me Player Acquisition Cost (PAC) for last month"",""What is the Player Acquisition Cost (PAC) by game category?"",""Compare Player Acquisition Cost (PAC) year over year"",""Filter Player Acquisition Cost (PAC) by player segment"",""Export Player Acquisition Cost (PAC) data for analysis""]","[""Calculate Player Acquisition Cost (PAC) for the specified time period"",""Explain Player Acquisition Cost (PAC) in business context"",""Compare Player Acquisition Cost (PAC) across different segments"",""Generate insights about Player Acquisition Cost (PAC) trends"",""Create a report showing Player Acquisition Cost (PAC) performance""]","[""In gambling context, Player Acquisition Cost (PAC) refers to..."",""Not to be confused with Player Acquisition Cost (PAC) in other industries"",""Regulatory definition of Player Acquisition Cost (PAC)"",""Business interpretation of Player Acquisition Cost (PAC)""]","[""Player Acquisition Cost (PAC) MEASURES analytics performance"",""Player Acquisition Cost (PAC) INFLUENCES business decisions"",""Player Acquisition Cost (PAC) CORRELATES_WITH player behavior"",""Player Acquisition Cost (PAC) IMPACTS revenue optimization"",""Player Acquisition Cost (PAC) REQUIRES regulatory compliance""]",Tactical,"[""Maps to Business Intelligence"",""Relates to Marketing"",""Connects to Operations""]",0.95,"[""IF Player Acquisition Cost (PAC) increases THEN revenue performance improves"",""IF Player Acquisition Cost (PAC) decreases THEN investigate underlying causes"",""IF Player Acquisition Cost (PAC) is mentioned THEN consider analytics context"",""IF calculating Player Acquisition Cost (PAC) THEN use gambling industry standards""]","Essential analytics metric that enables player acquisition cost (pac) tracking, analysis, and optimization for gambling operations. Critical for business decision-making, regulatory compliance, and performance monitoring.","[""Conversion"",""Retention"",""Acquisition"",""Segmentation"",""Cohort"",""Funnel""]",Player Acquisition Cost PAC,"Total cost to acquire a new player including marketing, bonuses, and operational expenses This analytics metric is fundamental to gambling operations, providing essential insights for business optimization, regulatory compliance, and strategic decision-making. Used extensively across the organization for performance monitoring and analysis.","[""Must be calculated consistently"",""Subject to business validation"",""Updated according to schedule"",""Requires proper governance""]",1.00,0.90,"Core analytics metric that integrates with multiple business systems and processes. Essential for cross-functional analysis, regulatory reporting, and strategic planning. Maintains relationships with player data, financial systems, and operational metrics.",Internal,2025-07-02 07:40:17.8038184
145,Game Session Duration,Average time a player spends in a single gaming session,Key engagement metric for game stickiness and player retention,"[""Session Length"",""Play Time"",""Engagement Duration""]","[""Player Engagement"",""Game Stickiness"",""Retention""]",Gaming,1,1,2025-07-02 07:40:17.8393158,2025-07-02 07:40:17.8393156,2025-07-02 07:40:17.8393157,Unified Metadata Generator,Unified Metadata Generator,Gaming,"[""Average session duration of 45 minutes"",""Session duration by game type""]","[""tbl_Daily_actions_games"",""tbl_Game_sessions"",""tbl_Games"",""tbl_Jackpots""]","[""amount"",""date"",""player_id"",""status""]","[""Parent: Gaming Metrics"",""Child: Sub-metrics"",""Related: Similar Terms""]",Calculate Game Session Duration using standard gaming formulas,"[""When \u0027Game Session Duration\u0027 is mentioned, prioritize gambling industry context"",""Distinguish Game Session Duration from similar terms in other industries"",""Consider regulatory context when interpreting Game Session Duration"",""Apply gambling-specific calculation methods for Game Session Duration""]",Head of Game Operations,"[""RNG Certification Requirements"",""Game Fairness Standards"",""Technical Standards for Gaming Equipment""]",0.9500,0.0000,"[""Game Session Duration in daily operations"",""Game Session Duration for regulatory reporting"",""Game Session Duration in business intelligence"",""Game Session Duration for player analysis"",""Game Session Duration in financial statements""]",2025-07-02 07:40:17.8393159,,"[""Show me Game Session Duration for last month"",""What is the Game Session Duration by game category?"",""Compare Game Session Duration year over year"",""Filter Game Session Duration by player segment"",""Export Game Session Duration data for analysis""]","[""Calculate Game Session Duration for the specified time period"",""Explain Game Session Duration in business context"",""Compare Game Session Duration across different segments"",""Generate insights about Game Session Duration trends"",""Create a report showing Game Session Duration performance""]","[""In gambling context, Game Session Duration refers to..."",""Not to be confused with Game Session Duration in other industries"",""Regulatory definition of Game Session Duration"",""Business interpretation of Game Session Duration""]","[""Game Session Duration MEASURES gaming performance"",""Game Session Duration INFLUENCES business decisions"",""Game Session Duration CORRELATES_WITH player behavior"",""Game Session Duration IMPACTS revenue optimization"",""Game Session Duration REQUIRES regulatory compliance""]",Operational,"[""Maps to Product domain"",""Relates to Player Experience"",""Connects to Technical Operations""]",0.95,"[""IF Game Session Duration increases THEN revenue performance improves"",""IF Game Session Duration decreases THEN investigate underlying causes"",""IF Game Session Duration is mentioned THEN consider gaming context"",""IF calculating Game Session Duration THEN use gambling industry standards""]","Essential gaming metric that enables game session duration tracking, analysis, and optimization for gambling operations. Critical for business decision-making, regulatory compliance, and performance monitoring.","[""Jackpot"",""Bonus"",""Free Spins"",""Multiplier"",""Scatter"",""Payline""]",Game Session Duration,"Average time a player spends in a single gaming session This gaming metric is fundamental to gambling operations, providing essential insights for business optimization, regulatory compliance, and strategic decision-making. Used extensively across the organization for performance monitoring and analysis.","[""Must use certified RNG systems"",""Subject to game fairness audits"",""Requires RTP compliance monitoring"",""Must handle bonus mechanics properly""]",1.00,0.90,"Core gaming metric that integrates with multiple business systems and processes. Essential for cross-functional analysis, regulatory reporting, and strategic planning. Maintains relationships with player data, financial systems, and operational metrics.",Internal,2025-07-02 07:40:17.8393158
146,Bonus Conversion Rate,Percentage of bonus offers that are accepted and used by players,Measures effectiveness of promotional campaigns and bonus strategies,"[""Bonus Acceptance Rate"",""Promotion Conversion"",""Offer Uptake""]","[""Bonus Strategy"",""Player Engagement"",""Promotional ROI""]",Player Management,1,1,2025-07-02 07:40:17.8403463,2025-07-02 07:40:17.8403460,2025-07-02 07:40:17.8403461,Unified Metadata Generator,Unified Metadata Generator,Player Management,"[""75% bonus conversion rate"",""Conversion rate by bonus type""]","[""tbl_Players"",""tbl_VIP_status"",""tbl_Loyalty_points"",""tbl_Bonuses""]","[""amount"",""date"",""player_id"",""status""]","[""Parent: Player Management Metrics"",""Child: Sub-metrics"",""Related: Similar Terms""]",Calculate Bonus Conversion Rate using standard player management formulas,"[""When \u0027Bonus Conversion Rate\u0027 is mentioned, prioritize gambling industry context"",""Distinguish Bonus Conversion Rate from similar terms in other industries"",""Consider regulatory context when interpreting Bonus Conversion Rate"",""Apply gambling-specific calculation methods for Bonus Conversion Rate""]",Head of Player Operations,"[""Player Protection Regulations"",""Responsible Gambling Guidelines"",""Data Privacy Laws""]",0.9500,0.0000,"[""Bonus Conversion Rate in daily operations"",""Bonus Conversion Rate for regulatory reporting"",""Bonus Conversion Rate in business intelligence"",""Bonus Conversion Rate for player analysis"",""Bonus Conversion Rate in financial statements""]",2025-07-02 07:40:17.8403463,,"[""Show me Bonus Conversion Rate for last month"",""What is the Bonus Conversion Rate by game category?"",""Compare Bonus Conversion Rate year over year"",""Filter Bonus Conversion Rate by player segment"",""Export Bonus Conversion Rate data for analysis""]","[""Calculate Bonus Conversion Rate for the specified time period"",""Explain Bonus Conversion Rate in business context"",""Compare Bonus Conversion Rate across different segments"",""Generate insights about Bonus Conversion Rate trends"",""Create a report showing Bonus Conversion Rate performance""]","[""In gambling context, Bonus Conversion Rate refers to..."",""Not to be confused with Bonus Conversion Rate in other industries"",""Regulatory definition of Bonus Conversion Rate"",""Business interpretation of Bonus Conversion Rate""]","[""Bonus Conversion Rate MEASURES player management performance"",""Bonus Conversion Rate INFLUENCES business decisions"",""Bonus Conversion Rate CORRELATES_WITH player behavior"",""Bonus Conversion Rate IMPACTS revenue optimization"",""Bonus Conversion Rate REQUIRES regulatory compliance""]",Tactical,"[""Maps to CRM domain"",""Relates to Marketing"",""Connects to Customer Service""]",0.95,"[""IF Bonus Conversion Rate increases THEN revenue performance improves"",""IF Bonus Conversion Rate decreases THEN investigate underlying causes"",""IF Bonus Conversion Rate is mentioned THEN consider player management context"",""IF calculating Bonus Conversion Rate THEN use gambling industry standards""]","Essential player management metric that enables bonus conversion rate tracking, analysis, and optimization for gambling operations. Critical for business decision-making, regulatory compliance, and performance monitoring.","[""Loyalty"",""Engagement"",""Satisfaction"",""Lifetime Value"",""Acquisition Cost"",""Retention""]",Bonus Conversion Rate,"Percentage of bonus offers that are accepted and used by players This player management metric is fundamental to gambling operations, providing essential insights for business optimization, regulatory compliance, and strategic decision-making. Used extensively across the organization for performance monitoring and analysis.","[""Must be calculated consistently"",""Subject to business validation"",""Updated according to schedule"",""Requires proper governance""]",1.00,0.90,"Core player management metric that integrates with multiple business systems and processes. Essential for cross-functional analysis, regulatory reporting, and strategic planning. Maintains relationships with player data, financial systems, and operational metrics.",Confidential,2025-07-02 07:40:17.8403462
